
    1024	   8	       128	     0.010
    1024	  16	        64	     0.011
    1024	  32	        32	     0.010
    1024	  64	        16	     0.011
    1024	 128	         8	     0.011
    1024	 256	         4	     0.011
    1024	 512	         2	     0.011
    2048	   8	       256	     0.021
    2048	  16	       128	     0.022
    2048	  32	        64	     0.023
    2048	  64	        32	     0.017
    2048	 128	        16	     0.022
    2048	 256	         8	     0.021
    2048	 512	         4	     0.023
    4096	   8	       512	     0.037
    4096	  16	       256	     0.036
    4096	  32	       128	     0.043
    4096	  64	        64	     0.044
    4096	 128	        32	     0.043
    4096	 256	        16	     0.045
    4096	 512	         8	     0.043
    8192	   8	      1024	     0.066
    8192	  16	       512	     0.078
    8192	  32	       256	     0.064
    8192	  64	       128	     0.085
    8192	 128	        64	     0.071
    8192	 256	        32	     0.076
    8192	 512	        16	     0.089
   16384	   8	      2048	     0.102
   16384	  16	      1024	     0.153
   16384	  32	       512	     0.147
   16384	  64	       256	     0.138
   16384	 128	       128	     0.130
   16384	 256	        64	     0.167
   16384	 512	        32	     0.167
   32768	   8	      4096	     0.113
   32768	  16	      2048	     0.169
   32768	  32	      1024	     0.225
   32768	  64	       512	     0.222
   32768	 128	       256	     0.306
   32768	 256	       128	     0.337
   32768	 512	        64	     0.299
   65536	   8	      8192	     0.132
   65536	  16	      4096	     0.220
   65536	  32	      2048	     0.367
   65536	  64	      1024	     0.504
   65536	 128	       512	     0.508
   65536	 256	       256	     0.476
   65536	 512	       128	     0.496
  131072	   8	     16384	     0.102
  131072	  16	      8192	     0.147
  131072	  32	      4096	     0.193
  131072	  64	      2048	     0.221
  131072	 128	      1024	     0.235
  131072	 256	       512	     0.233
  131072	 512	       256	     0.193
  262144	   8	     32768	     0.126
  262144	  16	     16384	     0.203
  262144	  32	      8192	     0.293
  262144	  64	      4096	     0.381
  262144	 128	      2048	     0.415
  262144	 256	      1024	     0.419
  262144	 512	       512	     0.421
  524288	   8	     65536	     0.142
  524288	  16	     32768	     0.250
  524288	  32	     16384	     0.394
  524288	  64	      8192	     0.672
  524288	 128	      4096	     0.742
  524288	 256	      2048	     0.687
  524288	 512	      1024	     0.826
 1048576	   8	    131072	     0.148
 1048576	  16	     65536	     0.282
 1048576	  32	     32768	     0.492
 1048576	  64	     16384	     0.826
 1048576	 128	      8192	     1.038
 1048576	 256	      4096	     0.952
 1048576	 512	      2048	     0.921
 2097152	   8	    262144	     0.156
 2097152	  16	    131072	     0.300
 2097152	  32	     65536	     0.541
 2097152	  64	     32768	     0.887
 2097152	 128	     16384	     1.563
 2097152	 256	      8192	     1.504
 2097152	 512	      4096	     1.219
 4194304	   8	    524288	     0.159
 4194304	  16	    262144	     0.311
 4194304	  32	    131072	     0.582
 4194304	  64	     65536	     1.018
 4194304	 128	     32768	     1.504
 4194304	 256	     16384	     1.511
 4194304	 512	      8192	     1.308
 8388608	   8	   1048576	     0.160
 8388608	  16	    524288	     0.314
 8388608	  32	    262144	     0.609
 8388608	  64	    131072	     1.141
 8388608	 128	     65536	     1.629
 8388608	 256	     32768	     1.611
 8388608	 512	     16384	     1.441
