
    1024	  32	        32	     0.015
    1024	  64	        16	     0.000
    1024	 128	         8	     0.000
    1024	 256	         4	     0.000
    2048	  32	        64	     0.041
    2048	  64	        32	     0.000
    2048	 128	        16	     0.000
    2048	 256	         8	     0.000
    4096	  32	       128	     0.071
    4096	  64	        64	     0.000
    4096	 128	        32	     0.000
    4096	 256	        16	     0.000
    8192	  32	       256	     0.115
    8192	  64	       128	     0.001
    8192	 128	        64	     0.001
    8192	 256	        32	     0.000
   16384	  32	       512	     0.139
   16384	  64	       256	     0.001
   16384	 128	       128	     0.001
   16384	 256	        64	     0.001
   32768	  32	      1024	     0.161
   32768	  64	       512	     0.001
   32768	 128	       256	     0.002
   32768	 256	       128	     0.002
   65536	  32	      2048	     0.198
   65536	  64	      1024	     0.002
   65536	 128	       512	     0.005
   65536	 256	       256	     0.004
  131072	  32	      4096	     0.197
  131072	  64	      2048	     0.005
  131072	 128	      1024	     0.010
  131072	 256	       512	     0.008
  262144	  32	      8192	     0.223
  262144	  64	      4096	     0.017
  262144	 128	      2048	     0.017
  262144	 256	      1024	     0.004
  524288	  32	     16384	     0.211
  524288	  64	      8192	     0.036
  524288	 128	      4096	     0.017
  524288	 256	      2048	     0.037
 1048576	  32	     32768	     0.231
 1048576	  64	     16384	     0.054
 1048576	 128	      8192	     0.031
 1048576	 256	      4096	     0.057
 2097152	  32	     65536	     0.247
 2097152	  64	     32768	     0.113
 2097152	 128	     16384	     0.117
 2097152	 256	      8192	     0.130
 4194304	  32	    131072	     0.249
 4194304	  64	     65536	     0.264
 4194304	 128	     32768	     0.036
 4194304	 256	     16384	     0.307
 8388608	  32	    262144	     0.255
 8388608	  64	    131072	     0.272
 8388608	 128	     65536	     0.513
 8388608	 256	     32768	     0.422
